// Archivo generado automáticamente

RM_d088ff63-6c0d-43b0-bcd6-b023967a1b1a = "CD: Tu sonrisa. Tu beso".
RM_b4d7598e-1b9c-45a9-af70-fa23dd0b822f = "Tu sonrisa. Tu beso".
RM_0e84d884-926a-4a3a-b9eb-81361afe491a = "Todas las razones"
RM_4e88a7a8-31c5-4177-bde3-a34df6e88cca = "Lanzado en febrero de 1993. Registros de potasio".
RM_c9862cbb-48c1-49ed-8414-0ed8b183b087 = "[img=music] No sé si me quiere. [img=music]"
RM_f6dd651c-d1bc-40ad-a395-29958dad4dae = "[img=music] Si ella pudiera verme. [img=music]"
RM_a858932e-fd47-4fda-9aff-546e19d42a22 = "[img=music] Riendo y bailando bajo el sol. [img=music]"
RM_59523bc9-038f-4785-b7f6-13c6f6bda033 = "[img=music] ˇNo me digas que no vale la pena intentarlo! [img=music]"
RM_91ac8784-a321-4542-918c-7045ac3220a6 = "[img=music] Tu sonrisa. Tu beso. [img=music]"
RM_6fc100d7-c673-4fed-89f7-ab314f965ee4 = "[img=music] ˇLo daría todo, vendería mi alma! [img=music]"
RM_c1c37f0d-6882-4649-b63b-a471d0e1b048 = "[img=music] ˇPara ver cómo tus ojos brillan dorados! [img=music]"
RM_c0632a53-6588-47a4-81dc-923e6c4c44f9 = "[img=music] Tómame como soy. ˇTómame entero! [img=music]"
RM_9fe3ce8f-1ca1-40da-9b67-73d1cd377bbe = "[img=music] Comida para dos y paseo por el parque. [img=music]"
RM_0ff912b3-647f-4812-afe2-fae204e31ecf = "[img=music] Riendo, sońando, bromeando hasta que oscurece. [img=music]"
RM_c2f9469a-1251-4878-b307-12527c02dfcb = "[img=music] żPodría durar más de un día? [img=music]"
RM_87b9dfe7-f4c2-4983-8328-3091a889e6f4 = "[img=music] Vamos bebé, żte quedarás? [img=music]"
RM_4c48f74e-ee55-41b3-930a-2e05fd52c868 = "CD: Terminado"
RM_14215e9d-f673-46aa-a406-1a638103de5e = "Terminado"
RM_e3ca0c4e-0e57-4582-b660-a1abcb6ce804 = "Huracán de vapor"
RM_7103491b-9254-4664-970e-469a10326b39 = "Lanzado en marzo de 1993. Universalis Sounds".
RM_0872dc16-802d-42ef-92ce-edca01a97f7e = "[img=music] Hablamos toda la noche, hasta que salió el sol. [img=music]"
RM_22b5c7ca-8ae8-449d-b889-f87838ca5fe9 = "[img=music] Dijiste que todo había terminado. No puede terminar. [img=music]"
RM_a6be7b67-fdcd-46f0-a462-75a362c7ec09 = "[img=music] Me miraste como a un extrańo. [img=music]"
RM_ccdbfd19-8ab9-4d5e-90ee-836bf51bf519 = "[img=música] żCómo podemos terminar? [img=música]"
RM_6d08a45c-9257-4acd-a908-20aceccc7d5e = "[img=music] Patiné en el centro, vi amantes divirtiéndose. [img=music]"
RM_b75357f1-bae2-4b7b-91bd-4492d39ea9e4 = "[img=music] Pensé en ti y en lo que habías hecho. [img=music]"
RM_d10952a9-f32b-41e3-b696-5379b599f739 = "[img=music] ˇNo me has roto! [img=music]"
RM_70890cd7-3eaf-46d5-8693-d7eaf22254cf = "[img=music] ˇMe has hecho quien soy! [img=music]"
RM_c9448bd8-9a82-4ce8-8f88-2dbe28a54d57 = "[img=music] He visto el sol. [img=music]"
RM_a8aa118f-03b5-4c3f-a438-6d21e237b0d6 = "[img=music] ˇPorque ahora soy el número uno! [img=music]"
RM_f5ac95bc-7c84-49d6-817b-45bddfeeacdf = "[img=music] Eres ayer. Un viejo cuento de hadas. [img=music]"
RM_ceb1f5d2-3216-46f4-b1c9-155b7760f20f = "[img=music] Ahora me ha llegado. Se acabó. [img=music]"
RM_b4d0f812-40c0-4f27-ab39-1a264a37e1ff = "[img=música] Mis ojos están abiertos. [img=música]"
RM_ce953394-a208-4127-a64c-1a82218a7fba = "Terminamos porque..."
RM_4fc658ae-3063-4ba0-b571-d9c5a5e7e1cd = "CD: Te has ido"
RM_56aa48a7-08fb-46b1-966d-46d85b463e8f = "Te has ido"
RM_15d84ac1-3e13-450a-9a96-de3957b310f3 = "Lanzado en febrero de 1992. Universalis Sounds".
RM_f5f10fc6-d6d2-4c35-9a65-bc2a54830af2 = "[img=music] Pasamos la noche juntos. [img=music]"
RM_9d236209-238d-4591-b6e6-5a2b38d894e8 = "[img=music] Dijo que me amarías para siempre. [img=music]"
RM_b93de3fe-da6a-4c70-819b-7b09cc98bea4 = "[img=música] Pero cuando llega la mańana... [img=música]"
RM_2bb43866-31c3-464d-9a91-01c5bd916b06 = "[img=music] Tu cabeza no está en tu almohada. [img=music]"
RM_e3888597-21fb-44b3-a6b2-10cf4c790689 = "[img=música] Le llamé por teléfono. [img=música]"
RM_b46462cd-e8e6-422d-ad50-eeb5f45ef807 = "[img=música] Mil excusas tontas. [img=música]"
RM_ab1c6ea2-c91a-415c-9ce8-6d85bd25abca = "[img=music] Tuviste clase y recital... [img=music]"
RM_8f38d3c9-82f2-46d0-a9be-e35fb559a206 = "[img=music] Solo dime la verdad. ˇTe has ido! [img=music]"
RM_5d4909f4-4c3a-43e2-9ad9-5d1d5e0f6d41 = "[img=music] ˇSe fue para siempre, se fue para siempre! [img=music]"
RM_94159592-ffdb-4821-978a-39c104dcb6e1 = "[img=music] Una noche es todo lo que tendremos. [img=music]"
RM_b488c254-f31e-4723-8b0d-681981187449 = "[img=music] Cabello dorado en mi almohada. [img=music]"
RM_91080db4-3fd9-4f7a-a8ac-c40593d9af36 = "[img=música] Un solo sabor del cielo... [img=música]"
RM_ad4f47bf-47ae-4158-a52b-9d43776031f2 = "[img=music] Antes de volver al infierno... [img=music]"
RM_418fa330-5321-4de6-8ee6-30671924f0ea = "[img=music] Te veo con un chico nuevo. [img=music]"
RM_ee17e0d4-cb2e-46a9-abe7-bfaed6c1e495 = "[img=music] Cabello largo y muchos músculos. [img=music]"
RM_b85031a5-a2b2-4fd0-ac0e-078e40d2b0df = "[img=music] Pensé que éramos algo especial. [img=music]"
RM_f5591135-e57d-42bf-a2d3-962a5d33a995 = "[img=music] Ahora ya no soy nada. [img=music]"
RM_9132763a-3fff-4fb0-bf1d-dd4b144f2165 = "CD: Oculto"
