DynamicRadio_FI {
    AEBS_Intro = "<bzzt> Viisi Nolla Kaksi <wzzt> Automaattinen lähetysjärjestelmä. <bzzt>",
    AEBS_Choppah = "Ilmatoiminta havaittu.",
    AEBS_Power_1 = "Knox Power Grid: Tehonvaihteluita havaittu.",
    AEBS_Power_2 = "Knox Power Grid: Järjestelmät epäonnistuvat. Verkko vaarantunut.",
    AEBS_Power_3 = "Knox Power Grid: Sähkökatkos.",
    AEBS_Pre_today = "Tänään,",
    AEBS_Pre_tomorrow = "Huomenna,",
    AEBS_Pre_dayafter = "Ylihuomenna,",
    --note: double '%%' at end required:
    AEBS_temperature = "keskilämpötila %s. Minimi: %s. maksimi: %s. Kosteus: %s%%...",
    AEBS_wind_0 = "%s tuuli %s. maksimi  %s odotettavissa. %s",
    AEBS_wind_1 = "Lievä",
    AEBS_wind_2 = "Kohtalainen",
    AEBS_wind_3 = "voimakas",
    AEBS_wind_4 = "Myrskyn voima",
    AEBS_clouds_0 = "Selkeä taivas.",
    AEBS_clouds_1 = "Muutama pilvi.",
    AEBS_clouds_2 = "Raskas pilvipeite.",
    AEBS_clouds_3 = "Ajoittain pilvistä.",
    AEBS_clouds_4 = "Voimakkaat pilvisyyden jaksot.",
    AEBS_fog_0 = "Kevyt sumu.",
    AEBS_fog_1 = "Paksu sumu.",
    AEBS_fog_2 = "Erittäin paksu sumu.",
    AEBS_weather_0_a = "VAROITUS: Sääjakson ennustetaan alkavan vuonna %s... ",
    AEBS_weather_0_b = "Sää jatkuu koko päivän... ",
    AEBS_weather_0_c = "Sääjakson ennustetaan päättyvän %s... ",
    AEBS_weather_predicted = "olettaa ",
    AEBS_weather_and_a = " ja  ",
    AEBS_weather_light_moderate = "kevyttä tai kohtalaista sadetta odotettavissa...",
    AEBS_weather_heavy_rain = "suihkut ja/tai rankkasateet",
    AEBS_weather_storm = "ukkosmyrsky",
    AEBS_weather_tropical = "trooppinen myrsky",
    AEBS_weather_blizzard = "lumimyrsky",
    AEBS_weather_snowfall = " mahdollisuus lumisateeseen.",
    AEBS_weather_storm_C = "Ukonilma",
    AEBS_weather_tropical_C = "Trooppinen myrsky",
    AEBS_weather_blizzard_C = "lumimyrsky",
    AEBS_weather_warning = "Varoitus vakavasta säästä. %s Välitön. ETA %s päivää...",

    AEBS_rand_pre_0 = "epänormaalia",
    AEBS_rand_pre_1 = "epäilyttävä",
    AEBS_rand_pre_2 = "vihamielinen",
    --AEBS_rand_pre_3 = "kuoleet",
    AEBS_rand_pre_4 = "class 5",
    AEBS_rand_pre_5 = "class 4",
    AEBS_rand_pre_6 = "class 3",
    AEBS_rand_pre_7 = "selviytyjä",
    AEBS_rand_pre_8 = "ajoneuvoa",
    AEBS_rand_pre_9 = "ilmassa",
    AEBS_rand_pre_10 = "ystävällinen",
    AEBS_rand_pre_11 = "tuntematon",
    AEBS_rand_pre_12 = "neutraali",

    AEBS_zone_name_s = "Etelä",
    AEBS_zone_name_sw = "Lounais",
    AEBS_zone_name_nw = "Luoteis",
    AEBS_zone_name_c = "Keski",
    AEBS_zone_name_n = "pohjoinen",
    AEBS_zone_name_ne = "Koillis",
    AEBS_zone_name_w = "länsi",
    AEBS_zone_name_e = "Itä",
    AEBS_zone_name_se = "Kaakko",

    AEBS_random_0 = "Koko henkilöstö. Tilapäinen tiedonsiirtohäiriö kohteelle %s kieltoalue... sektorit %i, %i, %i ja %i",
    AEBS_random_1 = "charlie <fzzt> india - alpha, <bzzt> määrätty alue <bzzt> sektori %i <wzzt>",
    AEBS_random_2 = "Koko henkilöstö <bzzt> käsky <fzzt> %i on myönnetty<wzzt>",
    AEBS_random_3 = "...%s <fzzt> on myönnetty %i <wzzt>",
    --AEBS_random_4 = "<fzzt>",
    AEBS_random_5 = "<bzzt>..uttaa mua! <fzzt> luojan tähden <szzt> EI PYYDÄN!!! <fzzt> Apua... <wzzt>",
    AEBS_random_6 = "<bzzt>..he haluavat vetää sen... <bzzt> tee se niin... <wzzt>",
    AEBS_random_7 = "<bzzt>..SE ON rikottu!... <bzzt> VITTU, Pidä sitä! TARVITAAN TUKEA...<wzzt>",
    AEBS_random_8 = "<bzzt>... he tarvitsevat lisää dataa...<wzzt>",
    AEBS_random_9 = "<bzzt>... pakeni... <fzzt> Liikkua ...<wzzt>",
    AEBS_random_10 = "<bzzt>... Operaatio Artemis <fzzt> korkea prioriteetti ...<wzzt>",
    AEBS_random_11 = "<bzzt>... kuka näitä lähettää? <fzzt> Tarkoitan, että saimme käskyn, mutta... ...<wzzt>",
    AEBS_random_12 = "<bzzt>... en luota häneen <fzzt> joka sanoo... ei voi olla totta<wzzt>",
    AEBS_random_13 = "<bzzt>... sanoivat tulleensa idästä <fzzt> toistan Itään...<wzzt>",

    AEBS_segment_night = "yö",
    AEBS_segment_early_morning = "aikainen aamu",
    AEBS_segment_morning = "aamu",
    AEBS_segment_afternoon = "iltapäivällä",
    AEBS_segment_evening = "ilta",
}
