Stash_JP = {

	-- Official Japanese Translation Data Information
	-- Update history
	-- Build-39.67.5
	-- Date 06-15-2018
	-- Translation by Falcon33jp (Koichi Takebe)
	-- E-mail:falcon33jp@gmail.com

	Stash_AnnotedMap = "地図(メモが書かれている)",
	Stash_MulMap1_Text1 = "ここに、床板。",
	Stash_MulMap1_Text2 = "ここに斧？",
	Stash_MulMap1_Text3 = "大きな集団",
	Stash_MulMap2_Text1 = "あなたのためにここに残した。",
	Stash_MulMap2_Text2 = "保管庫",
	Stash_MulMap2_Text3 = "この辺の近所はみんな逃げた",
	Stash_MulMap3_Text1 = "散弾銃と弾薬 - 誰に見つからないようここに隠している",
	Stash_MulMap3_Text2 = "資材保管庫、道具、物資",
	Stash_MulMap3_Text3 = "ここに多くある",
	Stash_MulMap4_Text1 = "より簡単な方法",
	Stash_MulMap4_Text2 = "医薬品",
	Stash_MulMap4_Text3 = "ここで早くなる、凄く多い",
	Stash_MulMap6_Text1 = "ボブ、俺が戻ってくるまでに、この場所を地獄のように強化したいと思う",
	Stash_MulMap6_Text2 = "ここに医薬品がある。",
	Stash_MulMap6_Text21 = "確かここに: 抗生物質、包帯。脚はまだ疲れてないぞクソが、",
	Stash_MulMap6_Text3 = "ここで彼らの群れを見たわ。 避けて！ あなたを愛しているわ",
	Stash_MulMap7_Text1 = "プラン B",
	Stash_MulMap7_Text2 = "お店？ まだ溢れている",
	Stash_MulMap7_Text3 = "めちゃくちゃ",
	Stash_MulMap8_Text1 = "ここに",
	Stash_MulMap8_Text2 = "必要な飲料水がここにある",
	Stash_MulMap8_Text3 = "ここの大きなゾンビ集団は、ここ数日間は移動していない。",
	Stash_MulMap10_Text1 = "死の家",
	Stash_MulMap10_Text2 = "Spiffo(スピッフォ)",
	Stash_MulMap10_Text3 = "ここではっきりと見た",
	Stash_MulMap11_Text1 = "Spiffo(スピッフォ)の銃",
	Stash_MulMap11_Text2 = "トラブル",
	Stash_MulMap11_Text3 = "ここではっきり見た",
	Stash_WpMap1_Text1 = "確か、ここが彼が住んでいた場所",
	Stash_WpMap1_Text2 = "奴らがあまりにも多く、神のためにここに近づかない方がいい",
	Stash_WpMap2_Text1 = "彼女はここに住んでいると思う",
	Stash_WpMap2_Text2 = "医療センター",
	Stash_WpMap2_Text3 = "彼女がここを歩いているのを見た。銃は持っていなかった。",
	Stash_WpMap4_Text1 = "勇気を出してね。あなたを愛しているわ。",
	Stash_WpMap4_Text3 = "ここには行かないで。 メガンはどこか？ 彼女は奴ら一人。",
	Stash_WpMap4_Text31 = "彼女が町にいたことを知らなかった。ちょっと行かない",
	Stash_WpMap5_Text1 = "私が寝室に残した道具は、有利になるだろう - ",
