DynamicRadio_PTBR {
    AEBS_Intro = "<bzzt> Cinco Zero Dois. <wzzt> Sistema de transmissão automática. <bzzt>",
    AEBS_Choppah = "Atividade aérea detectada.",
    AEBS_Power_1 = "Rede Elétrica de Knox: Flutuações de energia detectadas.",
    AEBS_Power_2 = "Rede Elétrica de Knox: Sistemas falhando. Rede comprometida.",
    AEBS_Power_3 = "Rede Elétrica de Knox: Apagão.",
    AEBS_Pre_today = "Hoje,",
    AEBS_Pre_tomorrow = "Amanhã,",
    AEBS_Pre_dayafter = "Depois de amanhã,",
    --note: double '%%' at end required:
    AEBS_temperature = "Temperatura Média: %s. Mínima: %s. Máxima: %s. Umidade: %s%%...",
    AEBS_wind_0 = "%s vento do %s. Máximo de %s previsto. %s",
    AEBS_wind_1 = "Fraca",
    AEBS_wind_2 = "Moderada",
    AEBS_wind_3 = "Forte",
    AEBS_wind_4 = "Temporal",
    AEBS_clouds_0 = "Céu limpo.",
    AEBS_clouds_1 = "Algumas núvens.",
    AEBS_clouds_2 = "Coberto de núvens pesadas.",
    AEBS_clouds_3 = "Períodos nublados periódicos.",
    AEBS_clouds_4 = "Períodos de nuvens pesadas.",
    AEBS_fog_0 = "Neblina fraca.",
    AEBS_fog_1 = "Neblina.",
    AEBS_fog_2 = "Neblina forte.",
    AEBS_weather_0_a = "AVISO: Período meteorológico previsto para começar em %s... ",
    AEBS_weather_0_b = "Clima continua ao longo do dia... ",
    AEBS_weather_0_c = "Período meteorológico previsto para terminar em %s... ",
    AEBS_weather_predicted = "Previsão ",
    AEBS_weather_and_a = " e um(a) ",
    AEBS_weather_light_moderate = "esperando de chuva leve a moderada...",
    AEBS_weather_heavy_rain = "pé d'água ou chuva forte",
    AEBS_weather_storm = "tempestade",
    AEBS_weather_tropical = "tempestade tropical",
    AEBS_weather_blizzard = "nevasca",
    AEBS_weather_snowfall = " com chance de neve.",
    AEBS_weather_storm_C = "Tempestade",
    AEBS_weather_tropical_C = "Tempestade tropical",
    AEBS_weather_blizzard_C = "Nevasca",
    AEBS_weather_warning = "Alerta de Tempo Severo. %s iminente. Tempo estimado: %s dias...",

    AEBS_rand_pre_0 = "anômalo",
    AEBS_rand_pre_1 = "suspeito",
    AEBS_rand_pre_2 = "hostil",
    --AEBS_rand_pre_3 = "infectado",
    AEBS_rand_pre_4 = "classe 5",
    AEBS_rand_pre_5 = "classe 4",
    AEBS_rand_pre_6 = "classe 3",
    AEBS_rand_pre_7 = "sobrevivente",
    AEBS_rand_pre_8 = "veículo",
    AEBS_rand_pre_9 = "transmitido pelo ar",
    AEBS_rand_pre_10 = "amigável",
    AEBS_rand_pre_11 = "desconhecido",
    AEBS_rand_pre_12 = "neutro",

    AEBS_zone_name_s = "Sul",
    AEBS_zone_name_sw = "Sudoeste",
    AEBS_zone_name_nw = "Noroeste",
    AEBS_zone_name_c = "Central",
    AEBS_zone_name_n = "Norte",
    AEBS_zone_name_ne = "Nordeste",
    AEBS_zone_name_w = "Oeste",
    AEBS_zone_name_e = "Leste",
    AEBS_zone_name_se = "Sudeste",

    AEBS_random_0 = "Todo pessoal. Falha temporária de comunicação para %s zona de exclusão... Setores %i, %i, %i e %i",
    AEBS_random_1 = "charlie <fzzt> india - alpha, <bzzt> zona designada <bzzt> setor %i <wzzt>",
    AEBS_random_2 = "Todo pessoal <bzzt> ordem <fzzt> %i foi emitida<wzzt>",
    AEBS_random_3 = "...%s <fzzt> atividade no setor %i <wzzt>",
    --AEBS_random_4 = "<fzzt>",
    AEBS_random_5 = "<bzzt>..juda! <fzzt> pelo amor de <szzt> POR FAVOR NÃO!! <fzzt> ajuda... <wzzt>",
    AEBS_random_6 = "<bzzt>..eles querem puxar... <bzzt> faça isso... <wzzt>",
    AEBS_random_7 = "<bzzt>..FOI QUEBRADO!... <bzzt> PORRA, SEGUREM! NÓS PRECISAMOS DE ASSIS...<wzzt>",
    AEBS_random_8 = "<bzzt>... eles precisam de mais dados...<wzzt>",
    AEBS_random_9 = "<bzzt>... fugiu... <fzzt> indo para ...<wzzt>",
    AEBS_random_10 = "<bzzt>... Operação Artemis <fzzt> alta prioridade ...<wzzt>",
    AEBS_random_11 = "<bzzt>... quem está enviando isso? <fzzt> Quer dizer, nós temos ordens, mas ...<wzzt>",
    AEBS_random_12 = "<bzzt>... eu não confio nele <fzzt> quem diz... não pode ser verdade<wzzt>",
    AEBS_random_13 = "<bzzt>... disseram que vieram do leste <fzzt> repito: leste...<wzzt>",

    AEBS_segment_night = "noite",
    AEBS_segment_early_morning = "madrugada",
    AEBS_segment_morning = "manhã",
    AEBS_segment_afternoon = "tarde",
    AEBS_segment_evening = "tardezinha",
}
