// Otomatik olusturulan dosya

RM_d088ff63-6c0d-43b0-bcd6-b023967a1b1a = "CD: Gülüsünüz. Öpücügünüz."
RM_b4d7598e-1b9c-45a9-af70-fa23dd0b822f = "Gülümsemeniz. Öpücügünüz."
RM_0e84d884-926a-4a3a-b9eb-81361afe491a = "Her Sebep"
RM_4e88a7a8-31c5-4177-bde3-a34df6e88cca = "Subat 1993'te yayinlandi. Potasyum Kayitlari."
RM_c9862cbb-48c1-49ed-8414-0ed8b183b087 = "[img=music] Beni seviyor mu bilmiyorum. [img=music]"
RM_f6dd651c-d1bc-40ad-a395-29958dad4dae = "[img=music] Keske beni görebilseydi. [img=music]"
RM_a858932e-fd47-4fda-9aff-546e19d42a22 = "[img=music] Güneste gülmek ve dans etmek. [img=music]"
RM_59523bc9-038f-4785-b7f6-13c6f6bda033 = "[img=music] Bana denemeye degmedigini söyleme! [img=music]"
RM_91ac8784-a321-4542-918c-7045ac3220a6 = "[img=müzik] Gülüsünüz. Öpücügünüz. [img=müzik]"
RM_6fc100d7-c673-4fed-89f7-ab314f965ee4 = "[img=music] Hepsini verirdim - ruhumu satardim! [img=music]"
RM_c1c37f0d-6882-4649-b63b-a471d0e1b048 = "[img=music] Gözlerinin nasil altin gibi parladigini görmek için! [img=music]"
RM_c0632a53-6588-47a4-81dc-923e6c4c44f9 = "[img=music] Beni oldugum gibi kabul edin. Beni bütün olarak kabul edin! [img=music]"
RM_9fe3ce8f-1ca1-40da-9b67-73d1cd377bbe = "[img=music] Iki kisilik yemek ve parkta yürüyüs. [img=music]"
RM_0ff912b3-647f-4812-afe2-fae204e31ecf = "[img=music] Hava kararana kadar gülüyor, hayal kuruyor, sakalasiyor. [img=music]"
RM_c2f9469a-1251-4878-b307-12527c02dfcb = "[img=music] Bir günden daha uzun sürebilir mi? [img=music]"
RM_87b9dfe7-f4c2-4983-8328-3091a889e6f4 = "[img=music] Hadi bebegim kalacak misin? [img=music]"
RM_4c48f74e-ee55-41b3-930a-2e05fd52c868 = "CD: Bitti"
RM_14215e9d-f673-46aa-a406-1a638103de5e = "Bitti"
RM_e3ca0c4e-0e57-4582-b660-a1abcb6ce804 = "Buharli Gemi Kasirgasi"
RM_7103491b-9254-4664-970e-469a10326b39 = "Mart 1993'te yayinlandi. Universalis Sounds."
RM_0872dc16-802d-42ef-92ce-edca01a97f7e = "[img=music] Gece günes dogana kadar konustuk. [img=music]"
RM_22b5c7ca-8ae8-449d-b889-f87838ca5fe9 = "[img=music] Bitti dediniz. Bitemez. [img=music]"
RM_a6be7b67-fdcd-46f0-a462-75a362c7ec09 = "[img=music] Bana bir yabanci gibi baktiniz. [img=music]"
RM_ccdbfd19-8ab9-4d5e-90ee-836bf51bf519 = "[img=music] Nasil bitirebiliriz? [img=music]"
RM_6d08a45c-9257-4acd-a908-20aceccc7d5e = "[img=music] Sehir merkezinde kaykay yaptim, asiklarin eglendigini gördüm. [img=music]"
RM_b75357f1-bae2-4b7b-91bd-4492d39ea9e4 = "[img=music] Seni ve yaptiklarini düsündüm. [img=music]"
RM_d10952a9-f32b-41e3-b696-5379b599f739 = "[img=music] Beni kirmadiniz! [img=music]"
RM_70890cd7-3eaf-46d5-8693-d7eaf22254cf = "[img=music] Beni ben yapan sizsiniz! [img=music]"
RM_c9448bd8-9a82-4ce8-8f88-2dbe28a54d57 = "[img=music] Günesi gördüm. [img=music]"
RM_a8aa118f-03b5-4c3f-a438-6d21e237b0d6 = "[img=music] Çünkü artik bir numarayim! [img=music]"
RM_f5ac95bc-7c84-49d6-817b-45bddfeeacdf = "[img=music] Siz dünsünüz. Eski bir peri masali. [img=music]"
RM_ceb1f5d2-3216-46f4-b1c9-155b7760f20f = "[img=music] Sira bana geldi. Bitti. [img=music]"
RM_b4d0f812-40c0-4f27-ab39-1a264a37e1ff = "[img=müzik] Gözlerim açik. [img=müzik]"
RM_ce953394-a208-4127-a64c-1a82218a7fba = "Bittik çünkü..."
RM_4fc658ae-3063-4ba0-b571-d9c5a5e7e1cd = "CD: Gittiniz"
RM_56aa48a7-08fb-46b1-966d-46d85b463e8f = "Gittiniz"
RM_15d84ac1-3e13-450a-9a96-de3957b310f3 = "Subat 1992'de yayinlandi. Universalis Sounds."
RM_f5f10fc6-d6d2-4c35-9a65-bc2a54830af2 = "[img=music] Geceyi birlikte geçirdik. [img=music]"
RM_9d236209-238d-4591-b6e6-5a2b38d894e8 = "[img=music] Beni sonsuza kadar sevecegini söyledi. [img=music]"
RM_b93de3fe-da6a-4c70-819b-7b09cc98bea4 = "[img=music] Ama sabah oldugunda... [img=music]"
RM_2bb43866-31c3-464d-9a91-01c5bd916b06 = "[img=music] Basiniz yastiginizin üzerinde degil. [img=music]"
RM_e3888597-21fb-44b3-a6b2-10cf4c790689 = "[img=music] Sizi telefonla aradi. [img=music]"
RM_b46462cd-e8e6-422d-ad50-eeb5f45ef807 = "[img=music] Binlerce yetersiz bahane. [img=music]"
RM_ab1c6ea2-c91a-415c-9ce8-6d85bd25abca = "[img=müzik] Dersiniz ve resitaliniz vardi... [img=müzik]"
RM_8f38d3c9-82f2-46d0-a9be-e35fb559a206 = "[img=music] Bana dogruyu söyleyin. Gittiniz! [img=music]"
RM_5d4909f4-4c3a-43e2-9ad9-5d1d5e0f6d41 = "[img=music] Sonsuza dek gitti, sonsuza dek gitti! [img=music]"
RM_94159592-ffdb-4821-978a-39c104dcb6e1 = "[img=music] Sahip olabilecegimiz tek gece. [img=music]"
RM_b488c254-f31e-4723-8b0d-681981187449 = "[img=music] Yastigimin üzerinde altin saç. [img=music]"
RM_91080db4-3fd9-4f7a-a8ac-c40593d9af36 = "[img=music] Tek bir cennet tadi... [img=music]"
RM_ad4f47bf-47ae-4158-a52b-9d43776031f2 = "[img=music] Cehenneme düsmeden önce... [img=music]"
RM_418fa330-5321-4de6-8ee6-30671924f0ea = "[img=music] Seni yeni bir çocukla görüyorum. [img=music]"
RM_ee17e0d4-cb2e-46a9-abe7-bfaed6c1e495 = "[img=music] Uzun saç ve bolca kas. [img=music]"
RM_b85031a5-a2b2-4fd0-ac0e-078e40d2b0df = "[img=music] Özel bir sey oldugumuzu düsündüm. [img=music]"
RM_f5591135-e57d-42bf-a2d3-962a5d33a995 = "[img=music] Artik bir hiçim. [img=music]"
RM_9132763a-3fff-4fb0-bf1d-dd4b144f2165 = "CD: Gizli"
RM_5eb73958-133e-40b2-a1da-c9f243767274 = "Gizli"
RM_381ef815-7ec0-49a0-ac3e-c59e6f8de60d = "Soru"
RM_2a330eea-1bd4-4e62-9d81-5de57319c71b = "Aralik 1992'de yayinlandi. Potasyum Kayitlari."
RM_f566af98-7825-40f8-8ab5-ae251db29eee = "[img=music] Seni trafik isiginda otururken gördüm. [img=music]"
RM_6f3a054e-2957-4159-adab-56e3d6bc0920 = "[img=music] Dünya düzgün dönmüyormus gibi hissettirdi. [img=music]"
RM_881fb74e-93ca-4de7-a623-9399adf44532 = "[img=music] Seninle olmaya ihtiyacim var. [img=music]"
RM_37787251-56b3-44df-acb2-f0c80ad17243 = "[img=music] Senin de beni sevmene ihtiyacim var. [img=music]"
RM_94b6a8ed-581d-4995-9e02-4cb155259a56 = "[img=müzik] Her geçen gün daha fazlasina ihtiyacim var! [img=müzik]"
RM_646ae99f-c4e5-43ac-b7f2-b8136d486909 = "[img=music] Ben bir hiçim. Gizliyim. [img=music]"
RM_594ddb85-facb-43ed-9db2-6abc83849488 = "[img=music] Her zaman görüs alanimdan çikiyorum. [img=music]"
RM_fce9349d-e4e7-4f9a-95cb-0f3d89bab29d = "[img=music] Neden beni fark edemiyorsunuz? [img=music]"
RM_897f95fe-3df2-4097-870c-e240f4577b6e = "[img=music] Neden bir yol bulamiyorsunuz? [img=music]"
RM_11bfd4df-e453-4c54-b212-8f8a6fe05351 = "[img=music] Benim dünyam oldugunuzu söyleyemez misiniz? [img=music]"
RM_5821d496-e4b4-4c9c-9fa4-e3798aac32e2 = "[img=music] Siz geldiniz, ben açtim! [img=music]"
RM_04cc5068-185e-44bb-8478-930eb79f1f14 = "[img=music] Her geçen gün daha fazlasina ihtiyacim var! [img=music]"
RM_b068ad7f-0ba1-486b-87e0-ccc42ad30f13 = "CD: Hadi Seviselim"
RM_5ed8c14c-f4d4-4b8a-bd27-d1d156487df4 = "Hadi Seviselim"
RM_c599f855-1e22-45e3-9433-a9a3d0f53ffb = "Erol Costello"
RM_e729f012-b0ab-42ef-a8ed-d407b744b621 = "Ekim 1983'te yayinlandi. Growtone Music."
RM_ee83294e-0c1a-4d42-b2f3-0c0805b0034a = "[img=music] Mumu üfleyin, öpücügünüzü tadin. [img=music]"
RM_037cab67-95e5-454e-a752-6b56fc687a88 = "[img=music] Pencereyi kapatin, geceyi kapatin. [img=music]"
RM_50d24672-ee8e-41ba-9493-e00b069494cb = "[img=music] Sen ve ben. Gözden irak. [img=music]"
RM_d6fde143-b0af-461a-9e45-01bdd5cf7045 = "[img=music] Birlikte: bütün gece. [img=music]"
RM_0309055f-fed2-4e1a-b340-8dc8ee34ae58 = "[img=music] Sampanyamiz var, ates yaniyor. [img=music]"
RM_6449ba6b-2a85-492e-a348-6d69505a38db = "[img=music] Ben sabaha kadar seninim ve sen benimsin. [img=music]"
RM_84a8a857-4438-460a-815e-c47aa9b64331 = "[img=music] Sadece kelimeyi söyleyin. Bana o bakisi atin. [img=music]"
RM_c61e705e-de97-4ee7-bb2b-99b62af1785f = "[img=music] Sabah oldugunda dünya sallanacak. [img=music]"
RM_aec43ea7-dc4b-4087-9830-6b88fa731bae = "[img=music] Bütün gece seni tutacagim. [img=music]"
RM_7f28b871-31f0-4d40-ba61-755f8eb17799 = "[img=müzik] Lütfen bebegim bana sor... [img=müzik]"
RM_89b723fb-11a3-4c5d-826f-df74439dfa9c = "[img=music] Çok yakin olacagiz. [img=music]"
RM_fbe8d638-55fb-4af2-89d6-d888ddcd6841 = "[img=music] Tatlim, bunun dogru oldugunu biliyorsun. [img=music]"
RM_66ab84d9-12fb-4a6f-a7f0-137d9b7a0953 = "[img=music] Ecstasy bulalim... [img=music]"
RM_d58e5921-d8bb-466f-92ce-14ba2b0fc0b6 = "[img=music] Bebegim sadece sen ve ben. [img=music]"
RM_0f0195e7-c9fa-441d-aeca-4c961b22fcbf = "[img=music] Asla birakmayacagim. [img=music]"
RM_30433dfe-10df-433f-bcb4-f3012ec7f469 = "[img=music] Seni çok istiyorum. [img=music]"
RM_e2ef94e7-fc43-4310-8c38-272f00c36f20 = "[img=music] Hadi bakalim... [img=music]"
RM_7452ab76-0608-40d4-88ba-7f4eba297b76 = "CD: Askinizin Derinligi"
RM_d15a8aab-b212-4f14-8703-7b51f1831bf6 = "Askinizin Derinligi"
RM_736a277d-bd14-4c62-a354-52605e4c8f8b = "Donny Mason"
RM_92cbd374-c738-494a-982a-57021b61c606 = "Eylül 1983'te yayinlandi. Hitlist Manufactuary."
RM_cd49ab8f-c7db-447d-b71e-1d3937e911c2 = "[img=music] Sevginiz... [img=music]"
RM_b73e44b9-70fb-4a70-9e7f-07fc24fef61b = "[img=müzik] ... gözlerimi aydinlatan sey. [img=müzik]"
RM_684b190f-5ba9-4b00-bd55-e1fa5bf01909 = "[img=music] Gece görüsürüz. [img=music]"
RM_59380b6f-3382-4ef7-b854-3060c23ff512 = "[img=music] Gerçek bir ask. [img=music]"
